iter	Passed	Remaining
404	9145	2145
405	9179	2125
406	9211	2104
407	9238	2083
408	9260	2060
409	9284	2038
410	9307	2015
411	9330	1992
412	9351	1969
413	9374	1947
414	9396	1924
415	9418	1901
416	9441	1879
417	9462	1856
418	9483	1833
419	9506	1810
420	9528	1787
421	9549	1764
422	9571	1742
423	9594	1719
424	9615	1696
425	9643	1675
426	9671	1653
427	9692	1630
428	9714	1607
429	9752	1587
430	9773	1564
431	9795	1541
432	9817	1519
433	9841	1496
434	9865	1474
435	9888	1451
436	9909	1428
437	9929	1405
438	9951	1382
439	9971	1359
440	9990	1336
441	10011	1313
442	10033	1291
443	10053	1268
444	10074	1245
445	10094	1222
446	10115	1199
447	10135	1176
448	10156	1153
449	10179	1131
450	10200	1108
451	10220	1085
452	10241	1062
453	10262	1039
454	10283	1017
455	10305	994
456	10328	971
457	10352	949
458	10373	926
459	10394	903
460	10416	881
461	10437	858
462	10458	835
463	10479	813
464	10503	790
465	10524	767
466	10545	745
467	10567	722
468	10590	699
469	10626	678
470	10656	656
471	10677	633
472	10699	610
473	10725	588
474	10747	565
475	10767	542
476	10788	520
477	10812	497
478	10833	474
479	10857	452
480	10883	429
481	10906	407
482	10930	384
483	10954	362
484	10977	339
485	11000	316
486	11023	294
487	11059	271
488	11081	249
489	11100	226
490	11120	203
491	11144	181
492	11164	158
493	11185	135
494	11205	113
495	11226	90
496	11247	67
497	11268	45
498	11292	22
499	11312	0
