iter	RMSE
124	0.210110547
125	0.2098010581
126	0.2091057138
127	0.208636487
128	0.2080262004
129	0.2075326389
130	0.2072563199
131	0.2067610133
132	0.2062468995
133	0.2056497796
134	0.205274671
135	0.2049608433
136	0.2043124877
137	0.2037262705
138	0.2034015406
139	0.2029354541
140	0.2024274517
141	0.202034482
142	0.2013369851
143	0.2007965654
144	0.2002523852
145	0.199832857
146	0.1993955037
147	0.1990085622
148	0.1985561308
149	0.1981066491
150	0.1975973857
151	0.1972695861
152	0.1969615509
153	0.1966060546
154	0.1961776904
155	0.1957662897
156	0.1952640682
157	0.1946759249
158	0.1943928478
159	0.1939239899
160	0.1935211326
161	0.1932450579
162	0.19293859
163	0.1926031321
164	0.1921604273
165	0.1917006641
166	0.1911070824
167	0.1905396963
168	0.1902840368
169	0.1900473572
170	0.1898151649
171	0.1892430827
172	0.1887410978
173	0.1883038228
174	0.1877988533
175	0.187388521
176	0.1872150611
177	0.1867087066
178	0.1864019684
179	0.1862013103
180	0.1861388705
181	0.1856224938
182	0.1851972816
183	0.1848079679
184	0.1844011968
185	0.1843438722
186	0.1840526105
187	0.1837420509
188	0.1837037972
189	0.1835375473
190	0.1831120784
191	0.1826889839
192	0.182445266
193	0.1821928269
194	0.1817046451
195	0.1816666455
196	0.1812447227
197	0.1811222184
198	0.1806763629
199	0.1805906224
200	0.180159192
201	0.1799989362
202	0.1796638515
203	0.1793254583
204	0.1787784778
205	0.1783273654
206	0.1780106052
207	0.1774889648
208	0.1773329696
209	0.1769500354
210	0.1768902909
211	0.1768265969
212	0.1766659695
213	0.1763767996
214	0.1761175026
215	0.1759451439
216	0.1756273846
217	0.1752023692
218	0.17453858
219	0.1744874256
220	0.1740780092
221	0.1737834845
222	0.1733120358
223	0.1728885006
224	0.172516256
225	0.1722546868
226	0.1720239183
227	0.171767846
228	0.1717119603
229	0.1713367912
230	0.1708605112
231	0.170590174
232	0.1701464735
233	0.1699039976
234	0.1698553517
235	0.169422865
236	0.1693262981
237	0.1692978348
238	0.1690080847
239	0.1688762027
240	0.1688555775
241	0.1685907087
242	0.1681473709
243	0.1678759718
244	0.1674616162
245	0.167186409
246	0.1671654973
247	0.1668082909
248	0.1667625415
249	0.1667192421
250	0.166659027
251	0.1664102219
252	0.1660152117
253	0.1658706244
254	0.1654705618
255	0.1651769976
256	0.1650133612
257	0.1649755218
258	0.1646730415
259	0.1641053491
260	0.1640686936
261	0.1637176357
262	0.1636692003
263	0.1633711959
264	0.163351531
265	0.1633260812
266	0.1630716407
267	0.1628986188
268	0.1625563015
269	0.1622426046
270	0.1620585931
271	0.161693648
272	0.161441321
273	0.1611718686
274	0.1610438375
275	0.1608475095
276	0.1607779962
277	0.1603893712
278	0.1603698631
279	0.1603025339
280	0.1598180961
281	0.1594401901
282	0.1591754039
283	0.1588171672
284	0.1585414778
285	0.1582578206
286	0.1579642263
287	0.1575385204
288	0.1574742352
289	0.1572920809
290	0.1570342105
291	0.1567592466
292	0.156351023
293	0.1562080639
294	0.1558780463
295	0.1555883282
296	0.1553338058
297	0.1552867882
298	0.1550953629
299	0.154997601
300	0.1545756397
301	0.1543227375
302	0.1541458045
303	0.1537800651
304	0.1535880439
305	0.1534205421
306	0.1533865675
307	0.1532159076
308	0.153039403
309	0.1528236463
310	0.1524678189
311	0.1524235216
312	0.1523067623
313	0.1520291141
314	0.1519740289
315	0.1516932924
316	0.1515084158
317	0.1512990036
318	0.1510596875
319	0.1506501912
320	0.1502715185
321	0.1501678406
322	0.1501514099
323	0.14997813
324	0.1498168245
325	0.1496353889
326	0.1494555123
327	0.1493620254
328	0.1491009855
329	0.1489639824
330	0.1488681686
331	0.148618078
332	0.1484102126
333	0.1480442074
334	0.14789079
335	0.1476946347
336	0.1474471258
337	0.1470562347
338	0.1467551982
339	0.1467319225
340	0.1466141701
341	0.1464298693
342	0.1460331392
343	0.1458014929
344	0.1455301044
345	0.1454996323
346	0.1452760712
347	0.1449639284
348	0.1447463655
349	0.1444399555
350	0.1442524858
351	0.1442348997
352	0.1439368547
353	0.1437314096
354	0.143681955
355	0.1435029535
356	0.1433099121
357	0.1432901999
358	0.1431747607
359	0.1429793821
360	0.1427910473
361	0.1425801459
362	0.1425158163
363	0.1423730043
364	0.1420881336
365	0.1419947528
366	0.1418496121
367	0.1417676824
368	0.1415412
369	0.1412337333
370	0.1410350807
371	0.1408843592
372	0.1405244275
373	0.1402982668
374	0.1402911639
375	0.1400890315
376	0.1399264086
377	0.1397686047
378	0.1396819566
379	0.139500321
380	0.1392073243
381	0.1390786003
382	0.1390041614
383	0.1387940769
384	0.1385932247
385	0.1385726302
386	0.1383333443
387	0.1382500361
388	0.1381980696
389	0.1379539989
390	0.1377981661
391	0.1377760094
392	0.1374813999
393	0.137259787
394	0.1370383647
395	0.1367798314
396	0.1365110541
397	0.1363174007
398	0.1361341991
399	0.1360548438
400	0.1358588064
401	0.1357352926
402	0.1357207932
403	0.1355248985
404	0.1353932333
405	0.1352070326
406	0.1349087206
407	0.1347306767
408	0.134439637
409	0.1343718058
410	0.1341494159
411	0.1337660744
412	0.1336119071
413	0.1333777497
414	0.1333559334
415	0.1331195265
416	0.1328784542
417	0.1327867951
418	0.1326092837
419	0.1323626189
420	0.1321908883
421	0.1320512178
422	0.131905045
423	0.1318865129
424	0.1316051564
425	0.1315221168
426	0.1312044878
427	0.13119248
428	0.1310832064
429	0.1309109762
430	0.1307776695
431	0.1307515525
432	0.1306697264
433	0.1303541049
434	0.1300828727
435	0.1299578695
436	0.1298093384
437	0.1297944813
438	0.1295606579
439	0.1293315564
440	0.1291390275
441	0.129024328
442	0.1287837461
443	0.128533816
444	0.1283867994
445	0.1282226549
446	0.1281410895
447	0.1280148511
448	0.1279254975
449	0.1276901333
450	0.1274105914
451	0.1273625593
452	0.1270990025
453	0.1270760249
454	0.1267550608
455	0.1265796454
456	0.1264376699
457	0.1262512167
458	0.1259126124
459	0.125799443
460	0.1256369147
461	0.125621122
462	0.1256164902
463	0.1252790921
464	0.1252171729
465	0.1252065833
466	0.125006937
467	0.1246141473
468	0.1244232967
469	0.1244126472
470	0.1242954569
471	0.1241025887
472	0.1239065946
473	0.1236481761
474	0.1234455255
475	0.123433695
476	0.1233224136
477	0.123263977
478	0.1231175861
479	0.1230036474
480	0.1228503399
481	0.1225874316
482	0.1224761126
483	0.1223145579
484	0.1220370072
485	0.1217558465
486	0.1215329016
487	0.1212677468
488	0.1210269444
489	0.120803781
490	0.1205071757
491	0.1203730669
492	0.120357378
493	0.1201640811
494	0.1200688164
495	0.1200372524
496	0.1198886111
497	0.1195998628
498	0.1195261376
499	0.1193569227
